current_class,affix,affix_source,no_boundary_after,gloss,continuation_class,out_mark,phonet_left,allomorphs,desc_ru,source,"frequency (1-4, 4 rarest)",comment
Root,,,,,"N, V",,,,,,,
Nstem,,^,1,+pos+N,"Ninfl, NsourceDerivation",,,,,,,
NAdjStem,,,,,Ninfl,,,,,,,
NsourceDerivation,,,,,"NNaffix, Vaffix, NVaffix, NominalVaffix, NAdjAffix",,,,,,,
NNaffix,,һыт,,+deriv+ag,Ninfl,,,"сыт, чыт, дьыт, ньыт",агенс,У:111,,также бывает от причастий будущего времени на -ыах
NNaffix,,чык,,+deriv+dim1,Ninfl,,,,диминутив,У:112,редк,
NNaffix,,ка,,+deriv+dim2,Ninfl,,,,диминутив/аттенуатив,У:112,редк,
NNaffix,,чаан,,+deriv+dim3,Ninfl,,,,диминутив,У:112,редк,
NNaffix,,кай,,+deriv+dim4,Ninfl,,,,диминутив,У:112,редк,
NNaffix,,ыйа,,+deriv+dim5,Ninfl,,,,диминутив,У:112,,
VNaffix,,ыы,,+deriv+dvb,Ninfl,,,,,У:118,,
VNaffix,,һын,,+deriv+dvb2,Ninfl,,,,,У:119,,"в гр. приводится с долгим гласным, но образуется тоже якобы (почти) только от основ на долгий, поэтому нет разницы (?)"
VNaffix,,ааччы,,+deriv+ag.nom,Ninfl,,,,,У:119,,"NB: также входит и в глагольную парадигму (присоединяет аффикс 
сказуемости)
см. 121 парные слова, 122 частые сочетания"
NNaffix,,был,,+deriv+nmlz,Ninfl,,,,,У:120,,
NNaffix,,ах,,+deriv+instr.nom,Ninfl,,,,инструмент / результат действия,У:120,,после гласных только -х
NNaffix,,лаҥ,,+deriv+nmlz2,Ninfl,,,,название действия (из монг.),У:120,,
NNaffix,,лта,,+deriv+nmlz3,Ninfl,,,,название действия (из монг.),У:120,,
Ninfl,,0,1,+num+sg,Ncase,,,,,глоссы_файл,,номинатив
Ninfl,,лар,,+num+pl,Ncase,,,,,глоссы_файл,,
Ncase,,0,1,+case+nom,NPossNom,,,,,глоссы_файл,,
Ncase,ы,и,,+case+acc,#,,,,,глоссы_файл,,
Ncase,,та,,+case+part,#,,,,,глоссы_файл,,
Ncase,,га,,+case+dat,#,,,,,глоссы_файл,,
Ncase,,тан,,+case+abl,#,,,,,глоссы_файл,,
Ncase,,нан,,+case+ins,#,,,,,глоссы_файл,,
Ncase,лыын,лиин,,+case+com,#,,,,,глоссы_файл,,
Ncase,,тааҕар,,+case+cmpr,#,,,,,глоссы_файл,,
NPossNom,,0,,,#,,,,,,,
NPossNom,,м,,+poss+1sg,#,,,,,,,
NPossNom,,ҥ,,+poss+2sg,#,,,,,,,
NPossNom,,а,,+poss+3sg,#,,,,,,,
NPossNom,,быт,,+poss+1pl,#,,,,,,,
NPossNom,,гыт,,+poss+2pl,#,,,,,,,
NPossNom,,лара,,+poss+3pl,#,,,,,,,
,,,,,,,,,парные существительные,У:113,,
Vaffix,,лаа,1,+deriv+vblz,Vstem,,,,,У:215-,,"здесь и аналогично для V может возникнуть бесконечная цепочка. Кажется надо ограничивать флагами
NB: привести все части речи которые вербализует лаа"
NVaffix,,й,1,+deriv+vblz2,Vstem,,,,,У:219,,
AdjVaffix,,й,1,+deriv+vblz2,Vstem,,,,,У:219,,
NominalVaffix,,й,1,+deriv+vblz2,Vstem,,,,,У:219,,
NominalVaffix,,ыр,1,+deriv+vblz3,Vstem,.drv.vblz3.,,,"становление, инхоатив",У:219-220,,
NominalVaffix,,ар,1,+deriv+vblz3,Vstem,.drv.vblz3.,,,"становление, инхоатив",У:219-220,,
NominalVaffix,,аар,1,+deriv+vblz3,Vstem,.drv.vblz3.,,,"становление, инхоатив",У:219-220,,
NominalVaffix,,тый,1,+deriv+vblz4,Vstem,,,,"становление, инхоатив",У:220,,
NominalVaffix,,сый,1,+deriv+vblz4,Vstem,,,,"становление, инхоатив",У:220,,
Vaffix,,тый,1,+deriv+vblz4,Vstem,,,,,У:220,4,
Vaffix,,сый,1,+deriv+vblz4,Vstem,,,,,У:220,4,
NominalVaffix,,мсый,1,+deriv+vblz5,Vstem,,,,,У:220,,"""выставлять себя Х-овым"" кажется какое-то околограм значение.."
NominalVaffix,,рҕаа,1,+deriv+vblz6,Vstem,,,,,У:221,,
NominalVaffix,,рый,1,+deriv+vblz7,Vstem,,,,,У:222,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Vstem,,^,1,+pos+V,"Vinfl, VsourceDerivation",,,,,,,
Vinfl,,,,,Vindic,,,,,,,
Vindic,,,,,VfiniteTenses,,,,,,,
VfiniteTenses,,,,,"Vpres, Vfut",,,,,,,
Vpres,,ар,,+tense+pres,VpredNumPers,.tns.pres.,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VsourceDerivation,,,,,"VVaffix, VNaffix",,,,,,,
VVaffix,,аахтаа,,+deriv+attd,Vinfl,,,,"ласковое отношение к агенсу или плохое ""к кому-н."" (???)",У:225-226,,похоже на некое аах + лаа..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VpossNumPers,,м,,+num+sg+pers+1,#,.pers.1.,,,,У:226,,
VpossNumPers,,ҥ,,+num+sg+pers+2,#,.pers.2.,,,,У:226,,
VpossNumPers,,а,,+num+sg+pers+3,#,,,,,У:226,,
VpossNumPers,,быт,,+num+pl+pers+1,#,.pers.1.,,,,У:226,,
VpossNumPers,,гыт,,+num+pl+pers+2,#,.pers.2.,,,,У:226,,
VpossNumPers,,лара,,+num+pl+pers+3,#,.3pl.,,,,У:226,,
VpredNumPers,,бын,,+num+sg+pers+1,#,.pers.1.,,,,У:226,,
VpredNumPers,,гын,,+num+sg+pers+2,#,.pers.2.,,ҕын,,У:226,,
VpredNumPers,,0,,+num+sg+pers+3,#,,,,,У:226,,отступление от Убр
VpredNumPers,,быт,,+num+pl+pers+1,#,.pers.1.,,,,У:226,,
VpredNumPers,,гыт,,+num+pl+pers+2,#,.pers.2.,,ҕыт,,У:226,,
VpredNumPers,,лар,,+num+pl+pers+3,#,.3pl.,,тар,,У:226,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
NumStem,,,,,"NumInfl, NumSourceDerivation",,,,,,,
NumSourceDerivation,,,,,Vaffix,,,,,,,
PronStem,,,,,"PronInfl, PronSourceDerivation",,,,,,,
PronSourceDerivation,,,,,Vaffix,,,,,,,в основном вопросительные местоимения!